City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,ust-nera,64.5667,143.2,250.57,99,82,1.78,RU,2024-10-26 15:00:00
134,longyearbyen,78.2186,15.6401,271.06,74,75,5.17,SJ,2024-10-26 15:00:00
135,praia da vitoria,38.7333,-27.0667,292.29,68,100,1.64,PT,2024-10-26 15:00:00
136,port alfred,-33.5906,26.891,293.25,73,23,8.14,ZA,2024-10-26 15:00:00
137,mankoeng,-23.9,29.8167,295.44,59,17,5.6,ZA,2024-10-26 15:00:00
138,olyokminsk,60.3736,120.4264,265.65,94,98,0.75,RU,2024-10-26 15:00:00
139,deltebre,40.7499,0.7868,289.99,79,83,8.96,ES,2024-10-26 15:00:00
140,kapuskasing,49.4169,-82.4331,274.7,93,75,4.83,CA,2024-10-26 15:00:00
141,sacramento,38.4666,-121.3177,285.87,78,0,0.98,US,2024-10-26 15:00:00
142,iskateley,67.6803,53.1512,275.04,96,100,6.4,RU,2024-10-26 15:00:00
143,avarua,-21.2078,-159.775,296.18,68,40,10.18,CK,2024-10-26 15:00:00
144,rancho palos verdes,33.7445,-118.387,289.18,72,100,1.49,US,2024-10-26 15:00:00
145,barrouallie,13.2333,-61.2667,301.94,79,75,4.22,VC,2024-10-26 15:00:00
146,alaghsas,17.0187,8.0168,309.09,9,0,8.19,NE,2024-10-26 15:00:00
147,kiruna,67.8557,20.2251,274.66,69,70,1.55,SE,2024-10-26 15:00:00
148,petropavlovsk-kamchatsky,53.0452,158.6483,272.88,100,100,4.61,RU,2024-10-26 15:00:00
149,twon-brass,4.3151,6.2418,301.1,76,55,5.53,NG,2024-10-26 15:00:00
150,el charco,2.4769,-78.1105,299.16,93,100,2.02,CO,2024-10-26 15:00:00
151,labrador city,52.9463,-66.9114,273.25,85,100,3.58,CA,2024-10-26 15:00:00
152,korkut,38.7391,41.7822,285.9,35,20,2.85,TR,2024-10-26 15:00:00
153,whitehorse,60.7161,-135.0538,268.45,92,75,0.6,CA,2024-10-26 15:00:00
154,afaahiti,-17.75,-149.2833,295.91,64,100,8.63,PF,2024-10-26 15:00:00
155,holualoa,19.6228,-155.9522,296.77,81,18,0.75,US,2024-10-26 15:00:00
156,saipan,15.1355,145.701,301.28,83,0,5.93,MP,2024-10-26 15:00:00
157,nemuro,43.3236,145.575,283.15,65,93,4.98,JP,2024-10-26 15:00:00
158,alice springs,-23.7,133.8833,297.9,11,1,4.9,AU,2024-10-26 15:00:00
159,pointe-du-lac,46.2869,-72.6845,281.8,72,100,7.51,CA,2024-10-26 15:00:00
160,probolinggo,-7.7543,113.2159,299.79,76,9,5.58,ID,2024-10-26 15:00:00
161,kalamata,37.0389,22.1142,295.99,65,20,2.91,GR,2024-10-26 15:00:00
162,hovd,48.0056,91.6419,277.45,47,100,0.13,MN,2024-10-26 15:00:00
163,mount pearl,47.5166,-52.7813,281.1,91,75,8.5,CA,2024-10-26 15:00:00
164,kampong cham,11.9934,105.4635,298.75,88,100,2.38,KH,2024-10-26 15:00:00
165,dinguiraye,11.3,-10.7167,304.05,38,47,1.66,GN,2024-10-26 15:00:00
166,canutama,-6.5339,-64.3831,312.77,31,61,0.8,BR,2024-10-26 15:00:00
167,isangel,-19.55,169.2667,296.56,89,31,1.63,VU,2024-10-26 15:00:00
168,revda,56.801,59.9303,275.9,91,100,1.26,RU,2024-10-26 15:00:00
169,kavaratti,10.5669,72.642,301.55,77,57,1.14,IN,2024-10-26 15:00:00
170,new norfolk,-42.7826,147.0587,285.21,86,100,1.35,AU,2024-10-26 15:00:00
171,kingston,17.997,-76.7936,305.28,74,20,0.32,JM,2024-10-26 15:00:00
172,sungai penuh,-2.0833,101.3833,292.51,93,87,0.49,ID,2024-10-26 15:00:00
173,taltal,-25.4,-70.4833,291.15,67,30,2.49,CL,2024-10-26 15:00:00
174,yung shue wan,22.2333,114.1167,300.03,81,98,9.57,HK,2024-10-26 15:00:00
175,ndelele,4.0333,14.9333,301.58,62,99,1.59,CM,2024-10-26 15:00:00
176,lao cai,22.4833,103.95,295.33,63,22,1.46,VN,2024-10-26 15:00:00
177,baciu,46.8,23.5167,288.61,48,0,1.51,RO,2024-10-26 15:00:00
178,oranjemund,-28.55,16.4333,289.55,79,86,5.45,NA,2024-10-26 15:00:00
179,vorgashor,67.5833,63.95,268.63,96,100,5.35,RU,2024-10-26 15:00:00
180,ketchikan,55.3422,-131.6461,281.4,81,100,5.48,US,2024-10-26 15:00:00
181,gizo,-8.103,156.8419,301.07,77,99,3.08,SB,2024-10-26 15:00:00
182,ta`u,-14.2336,-169.5144,299.94,84,31,8.31,AS,2024-10-26 15:00:00
183,al hufuf,25.3646,49.5653,301.34,36,0,5.97,SA,2024-10-26 15:00:00
184,puerto santa,-8.9906,-78.6456,291.83,81,94,3.14,PE,2024-10-26 15:00:00
185,ad dilam,23.9915,47.1627,300.18,27,3,4.43,SA,2024-10-26 15:00:00
186,st. john's,47.5649,-52.7093,281.52,92,75,9.59,CA,2024-10-26 15:00:00
187,toliara,-23.35,43.6667,298.72,72,0,4.88,MG,2024-10-26 15:00:00
188,palmer,42.1584,-72.3287,288.42,49,40,5.48,US,2024-10-26 15:00:00
189,moquegua,-17.1956,-70.9353,297.5,35,100,3.41,PE,2024-10-26 15:00:00
190,borkum,53.5809,6.6915,288.75,83,4,4.3,DE,2024-10-26 15:00:00
191,port macquarie,-31.4333,152.9167,286.52,87,100,2.54,AU,2024-10-26 15:00:00
192,inhambane,-23.865,35.3833,300.93,83,75,4.8,MZ,2024-10-26 15:00:00
193,komotini,41.1228,25.3964,293.74,53,0,1.3,GR,2024-10-26 15:00:00
194,mount isa,-20.7333,139.5,301.15,25,2,4.07,AU,2024-10-26 15:00:00
195,tazovsky,67.4667,78.7,255.62,99,70,1.77,RU,2024-10-26 15:00:00
